DeptID,DeptName,Location
1,HR,New York
2,Engineering,San Francisco
3,Marketing,Los Angeles
4,Finance,Boston
5,Sales,Seattle
6,IT,Austin
7,Operations,Chicago
8,Legal,Miami
9,Design,Atlanta
10,Customer Support,Denver
11,HR,New York
12,Engineering,San Francisco
13,Marketing,Los Angeles
14,Finance,Boston
15,Sales,Seattle
16,IT,Austin
17,Operations,Chicago
18,Legal,Miami
19,Design,Atlanta
20,Customer Support,Denver
21,HR,New York
22,Engineering,San Francisco
23,Marketing,Los Angeles
24,Finance,Boston
25,Sales,Seattle
26,IT,Austin
27,Operations,Chicago
28,Legal,Miami
29,Design,Atlanta
30,Customer Support,Denver
